L2D MODEL EVALUATION RESULTS
==========================================================================================

Dataset          Size      Inst    Mean    Std    Min    Max  Time
---------------  ------  ------  ------  -----  -----  -----  ------
Taillard_15x15   15x15       10   674.2  119.6    519    893  4.1s
Taillard_20x15   20x15       10   913.9   84.1    742   1057  5.4s
Taillard_20x20   20x20       10   979.4  111.4    783   1149  4.1s
Taillard_30x15   30x15       10  1454.1   87.9   1330   1612  5.9s
Taillard_30x20   30x20       10  1435.5  114.6   1184   1592  8.2s
DMU_20x15        20x15       10  2308.7  700.4   1295   3320  3.3s
DMU_20x20        20x20       10  2158    629.2   1251   2964  5.9s
DMU_30x15        30x15       10  3480.7  853.9   2522   4554  6.8s
DMU_30x20        30x20       10  3440.5  858.8   2401   4731  9.3s
Generated_6x6    6x6        100   231.2   71.7     71    397  5.7s
Generated_8x8    8x8        100   297.5   67.2    139    490  10.1s
Generated_10x10  10x10      100   423.3   86.3    260    661  15.8s
Generated_15x15  15x15      100   633.6  103.1    403    870  33.2s
Generated_20x15  20x15      100   851.4  103.6    658   1117  44.5s
Generated_20x20  20x20      100   876.4  130.3    508   1242  59.2s
Generated_30x15  30x15      100  1421.2  108.2   1148   1761  68.0s
Generated_30x20  30x20      100  1323    110.3   1032   1702  92.8s

Total datasets evaluated: 17
Total evaluation time: 382.1 seconds
